Ҳудуд ва банк номи,Банк номи,2024 йил Импорт шартнома сони,2024 йил Экспорт шартнома сони,2024 йил Импорт учун тўлов,2024 йил Экспорт тушуми,"Дебиторка 2024 йил 31 декабрь ҳолатига 
(минг долл)",2025 йил Ипморт шартнома сони,2025 йил Экспорт шартнома сони,2025 йил Импорт учун тўлов ,2025 йил Экспорт тушуми ,2025 йил ҳудуддаги банкларда экспорт шартнома сони,2025 йил ҳудуддаги банкларда экспорт тушум ,2025 йил ҳудуддаги банкларда импорт шартнома сони,2025 йил ҳудуддаги банкларда импорт тўлов ,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт тушум,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт тўлови ,"2025 йил бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларда экспорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган,   ҳудуддаги банкларида экспорт тушуми ","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт тўлови",2025 йил давомида  Россия Федерацияси Экспорт тушуми Шартнома сони,2025 йил давомида  Россия Федерацияси Экспорт тушуми Суммаси,2025 йил давомида  Россия Федерацияси Импорт тўлови Шартнома сони,2025 йил давомида  Россия Федерацияси Импорт тўлови Суммаси,2025 йил давомида  Хитой Экспорт тушуми Шартнома сони,2025 йил давомида  Хитой Экспорт тушуми Суммаси,2025 йил давомида  Хитой Импорт тўлови Шартнома сони,2025 йил давомида  Хитой Импорт тўлови Суммаси,2025 йил давомида  Қозиғистон Экспорт тушуми Шартнома сони,2025 йил давомида  Қозиғистон Экспорт тушуми Суммаси,2025 йил давомида  Қозиғистон Импорт тўлови Шартнома сони,2025 йил давомида  Қозиғистон Импорт тўлови Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Суммаси,2025 йил давомида  Туркия Экспорт тушуми Шартнома сони,2025 йил давомида  Туркия Экспорт тушуми Суммаси,2025 йил давомида  Туркия Импорт тўлови Шартнома сони,2025 йил давомида  Туркия Импорт тўлови Суммаси,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Шартнома сони,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Суммаси,2025 йил давомида  Бошқа давлатлар Импорт тўлови Шартнома сони,2025 йил давомида  Бошқа давлатлар Импорт тўлови Суммаси,"Дебиторка 2025 йил 31 декабрь ҳолатига 
(минг долл)",Белгиланган тоифа,2025 йилда ҳудуддаги улуши (фоизда),2025 йил давомида олинган банк даромади (минг сўмда),Мавжуд ходимлар,Банк манзили,Банк раҳбарлари,Банк раҳбарларининг тел рақами,,№,Сохалар,2025 йил экспорт сони,2025 йил экспорт сумма,2025 йил импорт сони,2025 йил импорт сумма,,№,Ҳудуд номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт  тушуми  Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони, Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси,,№,Банк номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"379,942",1,"12,000",0,0,0,0,2,"379,942",,,,,,,,,,,,,,,,,,,,,1,"12,000",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"24,572",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"24,572",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"46,649",0,0,0,0,0,0,1,"6,049",,,2,"40,600",,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туронбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"2,460",0,0,0,0,0,0,,,,,,,,,1,"2,460",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"123,159",0,0,0,0,0,0,,,,,1,"29,111",,,,,,,1,"91,070",,,,,,,1,"2,978",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"116,162",48,"6,984,083",0,0,0,0,,,3,"62,599",,,34,"5,223,706",1,"18,000",,,,,,,,,7,"978,687",2,"98,162",4,"719,091",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"5,000",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"5,000",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"132,975",5,"72,888",0,0,0,0,4,"132,975",1,"24,671",,,1,"27,944",,,,,,,,,,,1,"3,200",,,2,"17,073",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"58,854",4,"149,000",0,0,0,0,1,"16,473",,,,,1,"91,000",1,"20,949",,,,,2,"53,000",,,,,2,"21,432",1,"5,000",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,1,0,"28,875",0,,,,,1,"57,195",50,"14,158,358",0,0,0,0,,,5,"233,151",,,3,"5,648,315",1,"57,195",36,"2,214,147",,,,,,,3,"713,137",,,3,"5,349,609",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"3,000",1,"24,000",0,0,0,0,,,,,,,,,,,,,,,1,"24,000",,,,,1,"3,000",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"9,539",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"9,539",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"5,000",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"5,000",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"685,942",3,"354,743",0,0,0,0,3,"685,942",,,,,,,,,,,,,,,,,,,,,3,"354,743",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,5,"1,868,854",11,"1,017,427",0,0,0,0,,,,,,,4,"84,126",,,5,"874,663",1,"71,242",,,,,1,"9,000",4,"1,797,612",1,"49,637",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,9,"5,896,259",13,"5,105,641",0,0,0,0,,,,,,,10,"645,111",,,2,"4,441,128",1,"34,500",,,,,,,8,"5,861,759",1,"19,403",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"24,600",1,"58,825",0,0,0,0,,,1,"58,825",,,,,,,,,,,,,,,,,1,"24,600",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"204,369",9,"2,751,284",0,0,0,0,2,"204,369",3,"80,508",,,3,"2,384,468",,,,,,,,,,,,,,,3,"286,308",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"306,415",1,"911,500",0,0,0,0,,,,,1,"250,000",1,"911,500",1,"5,832",,,,,,,,,,,1,"50,583",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"60,780",4,"53,225",0,0,0,0,,,,,1,"60,780",3,"50,075",,,,,,,,,,,,,,,1,"3,150",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"504,361",4,"36,000",0,0,0,0,1,"141,000",,,,,2,"29,905",,,,,,,,,,,2,"6,095",1,"363,361",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"18,947",0,0,0,0,0,0,,,,,,,,,2,"18,947",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"11,850",1,"41,930",0,0,0,0,1,"5,475",,,,,1,"41,930",,,,,,,,,,,,,1,"6,375",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"269,738",0,0,0,0,0,0,1,"266,960",,,,,,,1,"2,778",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"167,283",2,"108,180",0,0,0,0,,,,,,,2,"108,180",,,,,,,,,,,,,2,"167,283",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гарант банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"505,247",12,"1,348,558",0,0,0,0,3,"368,083",5,"989,607",,,3,"257,720",,,,,,,2,"55,395",,,2,"45,836",3,"137,163",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"8,160",1,"2,000",0,0,0,0,,,,,,,1,"2,000",,,,,,,,,,,,,1,"8,160",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,21,"758,617",2,"15,314",0,0,0,0,,,,,2,"12,109",,,2,"10,250",,,,,,,1,"27,125",,,16,"709,133",2,"15,314",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,10,"95,348",4,"266,310",0,0,0,0,,,,,,,4,"266,310",6,"73,424",,,3,"14,970",,,,,,,1,"6,954",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"3,100",1,"12,100",0,0,0,0,,,,,,,1,"12,100",1,"3,100",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,5,"212,875",7,"174,503",0,0,0,0,3,"198,211",,,,,,,1,"5,800",7,"174,503",,,,,,,,,1,"8,864",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"1,400",0,0,0,0,0,0,,,,,,,,,1,"1,400",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"2,240",2,"139,514",0,0,0,0,1,"2,240",1,"5,940",,,1,"133,574",,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"799,933",1,"4,516",0,0,0,0,1,"130,009",1,"4,516",,,,,2,"550,924",,,,,,,,,,,1,"119,000",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"189,967",4,"153,995",0,0,0,0,,,,,,,3,"136,995",1,"14,256",,,,,,,,,,,5,"175,711",1,"17,000",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"586,269",2,"786,250",0,0,0,0,,,,,,,,,1,"29,920",2,"786,250",,,,,,,,,5,"556,349",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"100,000",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"100,000",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"21,148",2,"515,700",0,0,0,0,,,,,,,,,,,,,,,,,,,1,"515,100",2,"21,148",1,600,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"65,750",2,"105,800",0,0,0,0,,,,,,,,,,,1,"88,800",,,,,,,1,"17,000",1,"65,750",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туронбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"736,180",8,"423,415",0,0,0,0,,,,,,,5,"89,575",,,1,"13,340",,,,,,,,,6,"736,180",2,"320,500",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"300,000",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,"300,000",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"21,663",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"21,663",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"888,764",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,"888,764",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"462,633",1,"55,940",0,0,0,0,,,,,,,,,1,"32,429",,,,,,,,,,,3,"430,204",1,"55,940",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гарант банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"72,800",27,"1,864,140",0,0,0,0,,,22,"1,734,146",,,2,"19,118",,,1,"70,691",,,,,,,,,2,"72,800",2,"40,185",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"18,375",1,"3,500",0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"18,375",1,"3,500",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"38,925",1,"169,932",0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"38,925",1,"169,932",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"966,223",1,"56,000",0,0,0,0,,,,,,,,,,,,,,,,,,,1,"56,000",1,"966,223",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"25,576",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"25,576",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"19,000",6,"159,518",0,0,0,0,,,2,"31,374",,,,,,,,,,,1,"11,876",,,,,1,"19,000",3,"116,269",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"24,276",12,"1,042,416",0,0,0,0,,,1,"135,136",,,,,2,"24,276",11,"907,280",,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Капиталбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"51,000",0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,"51,000",,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"10,512",0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,"10,512",,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"306,647",0,0,0,0,0,0,,,,,1,"111,647",,,,,,,1,"195,000",,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"270,000",0,0,0,0,0,0,,,,,1,"270,000",,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"317,961",9,"526,614",0,0,0,0,3,"317,961",1,"131,715",,,4,"368,760",,,,,,,,,,,1,"8,253",,,3,"17,887",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"60,270",2,"60,700",0,0,0,0,,,,,,,1,"13,700",,,,,,,1,"47,000",,,,,1,"60,270",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асия аллианс банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"9,750",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"9,750",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"114,200",4,"35,709",0,0,0,0,,,,,,,4,"35,709",2,"114,200",,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"23,400",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"23,400",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"306,278",28,"4,599,818",0,0,0,0,,,,,,,3,"25,595",,,15,"2,725,210",,,,,,,2,"671,700",3,"306,278",8,"1,177,312",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"52,402",1,"240,000",0,0,0,0,,,,,,,1,"240,000",,,,,,,,,,,,,1,"52,402",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"61,500",3,"35,509",0,0,0,0,1,"61,500",3,"35,509",,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"4,624",11,"490,364",0,0,0,0,,,,,,,7,"390,206",1,"4,624",,,,,,,,,3,"21,158",,,1,"79,000",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"2,100",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"2,100",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"1,000",1,"3,756",0,0,0,0,,,,,,,,,1,"1,000",1,"3,756",,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"5,400",1,"4,723",0,0,0,0,,,1,"4,723",,,,,,,,,,,,,,,,,1,"5,400",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"1,682",1,"19,948",0,0,0,0,,,1,"19,948",,,,,,,,,,,,,,,,,2,"1,682",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,3,"762,070",11,"428,170",0,0,0,0,,,,,,,1,"172,000",,,,,,,,,,,,,3,"762,070",10,"256,170",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,2,"21,654",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,"21,654",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,5,"23,218",1,"14,500",0,0,0,0,,,,,,,,,,,,,,,,,,,1,"14,500",5,"23,218",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гарант банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,175,8,"63,177",0,0,0,0,1,175,,,,,,,,,,,,,,,,,7,"53,240",,,1,"9,937",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"9,666",3,"2,074,698",0,0,0,0,,,,,,,1,"77,165",,,,,,,,,,,1,"1,997,000",1,"9,666",1,533,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Инфинбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,6,"20,219",47,"2,456,843",0,0,0,0,2,"3,107",1,"8,999",,,41,"2,314,857",1,"6,850",,,,,,,,,,,3,"10,262",5,"132,987",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,4,"20,004",42,"2,437,728",0,0,0,0,,,13,"1,458,988",,,11,"429,539",,,3,"255,503",,,2,"55,861",,,1,"59,842",4,"20,004",12,"177,994",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"3,934",4,"44,711",0,0,0,0,,,,,,,1,"14,850",,,,,,,,,,,,,1,"3,934",3,"29,861",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"2,962",7,"251,047",0,0,0,0,,,,,,,2,"55,000",,,4,"41,047",,,,,,,1,"155,000",1,"2,962",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тене банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,376,2,"147,094",0,0,0,0,,,,,,,2,"147,094",,,,,,,,,,,,,1,376,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,1,"2,002,841",18,"915,096",0,0,0,0,,,,,,,4,"284,000",,,,,,,1,"18,500",,,7,"544,150",1,"2,002,841",6,"68,446",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,0,0,5,"10,989,003",0,0,0,0,,,2,"1,230,519",,,,,,,,,,,1,"9,525,813",,,,,,,2,"232,670",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Халқ банк,Бошқа ҳудуд банклари,,,,,0,0,0,0,0,,,,,0,0,7,"177,310",0,0,0,0,,,3,"19,784",,,1,"63,504",,,,,,,,,,,1,"3,100",,,2,"90,922",0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
